Order ID,Order Date,Customer ID,Customer Name,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit
CA-2016-152156,11/8/2016,CG-12520,Claire Gute,Henderson,South,FUR-BO-10001798,Laptops,Dell,Bush Somerset Collection Bookcase,261.96,2,41.9136
CA-2016-152156,11/8/2016,CG-12520,Claire Gute,Henderson,South,FUR-CH-10000454,Laptops,HP,"Hon Deluxe Fabric Upholstered Stacking HP, Rounded Back",731.94,3,219.582
CA-2016-138688,6/12/2016,DV-13045,Darrin Van Huff,Los Angeles,West,OFF-LA-10000240,Mobile Phones,HTC,Self-Adhesive Address HTC for Typewriters by Universal,14.62,2,6.8714
US-2019-108966,10/11/2019,SO-20335,Sean O'Donnell,Fort Lauderdale,South,FUR-TA-10000577,Laptops,Lenovo,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,-383.031
US-2019-108966,10/11/2019,SO-20335,Sean O'Donnell,Fort Lauderdale,South,OFF-ST-10000760,Mobile Phones,OnePlus,Eldon Fold 'N Roll CLG System,22.368,2,2.5164
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,FUR-FU-10001487,Laptops,Asus,"Eldon Expressions Wood and Plastic Desk Nikon, Cherry Wood",48.86,7,14.1694
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,OFF-AR-10002833,Mobile Phones,LG,Newell 322,7.28,4,1.9656
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,TEC-PH-10002275,Cameras ,Sony,Mitel 5320 IP Phone VoIP phone,907.152,6,90.7152
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,OFF-BI-10003910,Mobile Phones,iPhone,DXL Angle-View iPhone with Locking Rings by Samsill,18.504,3,5.7825
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,OFF-AP-10002892,Mobile Phones,Samsung,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,FUR-TA-10001539,Laptops,Lenovo,Chromcraft Rectangular Conference Lenovo,1706.184,9,85.3092
CA-2018-115812,6/9/2018,BH-11710,DataFlair,Los Angeles,West,TEC-PH-10002033,Cameras ,Sony,Konftel 250 Conference phone - Charcoal black,911.424,4,68.3568
CA-2017-114412,4/15/2017,AA-10480,Andrew Allen,Concord,South,OFF-PA-10002365,Mobile Phones,Pixel,Xerox 1967,15.552,3,5.4432
CA-2016-161389,12/5/2016,IM-15070,Irene Maddox,Seattle,West,OFF-BI-10003656,Mobile Phones,iPhone,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922
US-2019-118983,11/22/2019,HP-14815,Harold Pawlan,Fort Worth,Central,OFF-AP-10002311,Mobile Phones,Samsung,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
US-2019-118983,11/22/2019,HP-14815,Harold Pawlan,Fort Worth,Central,OFF-BI-10000756,Mobile Phones,iPhone,Storex DuraTech Recycled Plastic Frosted iPhone,2.544,3,-3.816
CA-2018-105893,11/11/2018,PK-19075,Pete Kriz,Madison,Central,OFF-ST-10004186,Mobile Phones,OnePlus,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176
CA-2018-167164,5/13/2018,AG-10270,Alejandro Grove,West Jordan,West,OFF-ST-10000107,Mobile Phones,OnePlus,Fellowes Super Stor/Drawer,55.5,2,9.99
CA-2018-143336,8/27/2018,ZD-21925,Zuschuss Donatelli,San Francisco,West,OFF-AR-10003056,Mobile Phones,LG,Newell 341,8.56,2,2.4824
CA-2018-143336,8/27/2018,ZD-21925,Zuschuss Donatelli,San Francisco,West,TEC-PH-10001949,Cameras ,Sony,Cisco SPA 501G IP Phone,213.48,3,16.011
CA-2018-143336,8/27/2018,ZD-21925,Zuschuss Donatelli,San Francisco,West,OFF-BI-10002215,Mobile Phones,iPhone,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384
CA-2016-137330,12/9/2016,KB-16585,Ken Black,Fremont,Central,OFF-AR-10000246,Mobile Phones,LG,Newell 318,19.46,7,5.0596
CA-2016-137330,12/9/2016,KB-16585,Ken Black,Fremont,Central,OFF-AP-10001492,Mobile Phones,Samsung,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884
US-2017-156909,7/16/2017,SF-20065,Sandra Flanagan,Philadelphia,East,FUR-CH-10002774,Laptops,HP,"Global Deluxe Stacking Chair, Gray",71.372,2,-1.0196
CA-2019-106320,9/25/2019,EB-13870,Emily Burns,Orem,West,FUR-TA-10000577,Laptops,Lenovo,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649
CA-2016-121755,1/16/2016,EH-13945,Eric Hoffmann,Los Angeles,West,OFF-BI-10001634,Mobile Phones,iPhone,Wilson Jones Active Use iPhone,11.648,2,4.2224
CA-2016-121755,1/16/2016,EH-13945,Eric Hoffmann,Los Angeles,West,TEC-AC-10003027,Cameras ,Nikon,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,FUR-BO-10004834,Laptops,Dell,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,-1665.0522
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,OFF-BI-10000474,Mobile Phones,iPhone,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,-7.0532
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,FUR-FU-10004848,Laptops,Asus,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,15.525
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,OFF-EN-10001509,Mobile Phones,Motorola ,Poly String Tie Motorola ,3.264,2,1.1016
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,OFF-AR-10004042,Mobile Phones,LG,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,9.7092
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,OFF-BI-10001525,Mobile Phones,iPhone,"Acco Pressboard Covers with OnePlus Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,-5.715
US-2019-150630,9/17/2019,TB-21520,Tracy Blumstein,Philadelphia,East,OFF-AR-10001683,Mobile Phones,LG,Lumber Crayons,15.76,2,3.546
CA-2017-107727,10/19/2017,MA-17560,Matt Abelman,Houston,Central,OFF-PA-10000249,Mobile Phones,Pixel,Easy-staple Pixel,29.472,3,9.9468
CA-2016-117590,12/8/2016,GH-14485,Gene Hale,Richardson,Central,TEC-PH-10004977,Cameras ,Sony,GE 30524EE4,1097.544,7,123.4737
CA-2016-117590,12/8/2016,GH-14485,Gene Hale,Richardson,Central,FUR-FU-10003664,Laptops,Asus,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963
CA-2019-117415,12/27/2019,SN-20710,Steve Nguyen,Houston,Central,OFF-EN-10002986,Mobile Phones,Motorola ,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Motorola ",113.328,9,35.415
CA-2019-117415,12/27/2019,SN-20710,Steve Nguyen,Houston,Central,FUR-BO-10002545,Laptops,Dell,"Atlantic Metals Mobile 3-Shelf Dell, Custom Colors",532.3992,3,-46.9764
CA-2019-117415,12/27/2019,SN-20710,Steve Nguyen,Houston,Central,FUR-CH-10004218,Laptops,HP,"Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147
CA-2019-117415,12/27/2019,SN-20710,Steve Nguyen,Houston,Central,TEC-PH-10000486,Cameras ,Sony,Plantronics HL10 Handset Lifter,371.168,4,41.7564
CA-2017-120999,9/10/2017,LC-16930,Linda Cazamias,Naperville,Central,TEC-PH-10004093,Cameras ,Sony,Panasonic Kx-TS550,147.168,4,16.5564
CA-2016-101343,7/17/2016,RA-19885,Ruben Ausman,Los Angeles,West,OFF-ST-10003479,Mobile Phones,OnePlus,"Eldon Base for stackable OnePlus shelf, platinum",77.88,2,3.894
CA-2017-139619,9/19/2017,ES-14080,Erin Smith,Melbourne,South,OFF-ST-10003282,Mobile Phones,OnePlus,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616
CA-2016-118255,3/11/2016,ON-18715,Odella Nelson,Eagan,Central,TEC-AC-10000171,Cameras ,Nikon,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
CA-2016-118255,3/11/2016,ON-18715,Odella Nelson,Eagan,Central,OFF-BI-10003291,Mobile Phones,iPhone,Wilson Jones Leather-Like iPhone with DublLock Round Rings,17.46,2,8.2062
CA-2018-146703,10/20/2018,PO-18865,Patrick O'Donnell,Westland,Central,OFF-ST-10001713,Mobile Phones,OnePlus,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,8.4784
CA-2016-169194,6/20/2016,LH-16900,Lena Hernandez,Dover,East,TEC-AC-10002167,Cameras ,Nikon,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,4.95
CA-2016-169194,6/20/2016,LH-16900,Lena Hernandez,Dover,East,TEC-PH-10003988,Cameras ,Sony,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,6.104
CA-2019-115742,4/18/2019,DP-13000,Darren Powers,New Albany,Central,OFF-BI-10004410,Mobile Phones,iPhone,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,17.9634
CA-2019-115742,4/18/2019,DP-13000,Darren Powers,New Albany,Central,OFF-LA-10002762,Mobile Phones,HTC,Avery 485,75.18,6,35.3346
CA-2019-115742,4/18/2019,DP-13000,Darren Powers,New Albany,Central,FUR-FU-10001706,Laptops,Asus,Longer-Life Soft White Bulbs,6.16,2,2.9568
CA-2019-115742,4/18/2019,DP-13000,Darren Powers,New Albany,Central,FUR-CH-10003061,Laptops,HP,"Global Leather Task Chair, Black",89.99,1,17.0981
CA-2016-105816,12/11/2016,JM-15265,Janet Molinari,New York City,East,OFF-FA-10000304,Mobile Phones,Nokia,Advantus Push Pins,15.26,7,6.2566
CA-2016-105816,12/11/2016,JM-15265,Janet Molinari,New York City,East,TEC-PH-10002447,Cameras ,Sony,AT&T CL83451 4-Handset Telephone,1029.95,5,298.6855
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,OFF-ST-10000604,Mobile Phones,OnePlus,Home/Office Personal File CLGs,208.56,6,52.14
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,OFF-PA-10001569,Mobile Phones,Pixel,Xerox 232,32.4,5,15.552
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,FUR-CH-10003968,Laptops,HP,Novimex Turbo Task Chair,319.41,5,7.098
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,OFF-PA-10000587,Mobile Phones,Pixel,"Array Parchment Pixel, Assorted Colors",14.56,2,6.9888
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,TEC-AC-10002167,Cameras ,Nikon,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,3.3
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,OFF-BI-10001460,Mobile Phones,iPhone,Plastic Binding Combs,48.48,4,16.362
CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,Troy,East,OFF-AR-10001868,Mobile Phones,LG,Prang Dustless Chalk Sticks,1.68,1,0.84
CA-2019-135545,11/24/2019,KM-16720,Kunst Miller,Los Angeles,West,TEC-AC-10004633,Cameras ,Nikon,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512
CA-2019-135545,11/24/2019,KM-16720,Kunst Miller,Los Angeles,West,OFF-BI-10001078,Mobile Phones,iPhone,"Acco PRESSTEX Data Binder with OnePlus Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612
CA-2019-135545,11/24/2019,KM-16720,Kunst Miller,Los Angeles,West,OFF-PA-10003892,Mobile Phones,Pixel,Xerox 1943,146.73,3,68.9631
CA-2019-135545,11/24/2019,KM-16720,Kunst Miller,Los Angeles,West,FUR-FU-10000397,Laptops,Asus,Luxo Economy Swing Arm Lamp,79.76,4,22.3328
US-2019-164175,4/30/2019,PS-18970,Paul Stevenson,Chicago,Central,FUR-CH-10001146,Laptops,HP,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,-15.2225
CA-2018-106376,12/5/2018,BS-11590,Brendan Sweed,Gilbert,West,OFF-AR-10002671,Mobile Phones,LG,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,111.3024
CA-2018-106376,12/5/2018,BS-11590,Brendan Sweed,Gilbert,West,TEC-PH-10002726,Cameras ,Sony,netTALK DUO VoIP Telephone Service,167.968,4,62.988
CA-2016-119823,6/4/2016,KD-16270,Karen Daniels,Springfield,South,OFF-PA-10000482,Mobile Phones,Pixel,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,35.6636
CA-2016-106075,9/18/2016,HM-14980,Henry MacAllister,New York City,East,OFF-BI-10004654,Mobile Phones,iPhone,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731
CA-2017-114440,9/14/2017,TB-21520,Tracy Blumstein,Jackson,Central,OFF-PA-10004675,Mobile Phones,Pixel,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,8.763
US-2019-134026,4/26/2019,JE-15745,Joel Eaton,Memphis,South,FUR-CH-10000513,Laptops,HP,High-Back Leather Manager's Chair,831.936,8,-114.3912
US-2019-134026,4/26/2019,JE-15745,Joel Eaton,Memphis,South,FUR-FU-10003708,Laptops,Asus,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,1.213
US-2019-134026,4/26/2019,JE-15745,Joel Eaton,Memphis,South,OFF-ST-10004123,Mobile Phones,OnePlus,Safco Industrial Wire Shelving System,72.784,1,-18.196
US-2017-118038,12/9/2017,KB-16600,Ken Brennan,Houston,Central,OFF-BI-10004182,Mobile Phones,iPhone,Economy iPhone,1.248,3,-1.9344
US-2017-118038,12/9/2017,KB-16600,Ken Brennan,Houston,Central,FUR-FU-10000260,Laptops,Asus,"6"" Cubicle Wall Clock, Black",9.708,3,-5.8248
US-2017-118038,12/9/2017,KB-16600,Ken Brennan,Houston,Central,OFF-ST-10000615,Mobile Phones,OnePlus,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,2.724
US-2018-147606,11/26/2018,JE-15745,Joel Eaton,Houston,Central,FUR-FU-10003194,Laptops,Asus,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,-14.475
CA-2016-127208,6/12/2016,SC-20770,StewLG Carmichael,Decatur,South,OFF-AP-10002118,Mobile Phones,Samsung,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,56.2032
CA-2016-127208,6/12/2016,SC-20770,StewLG Carmichael,Decatur,South,OFF-BI-10002309,Mobile Phones,iPhone,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,8.0352
CA-2018-139451,10/12/2018,DN-13690,Duane Noonan,San Francisco,West,OFF-AR-10002053,Mobile Phones,LG,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.172
CA-2018-139451,10/12/2018,DN-13690,Duane Noonan,San Francisco,West,OFF-ST-10002370,Mobile Phones,OnePlus,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2031
CA-2019-149734,9/3/2019,JC-16105,Julie Creighton,Durham,South,OFF-EN-10000927,Mobile Phones,Motorola ,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,62.8075
US-2017-119662,11/13/2017,CS-12400,Christopher Schild,Chicago,Central,OFF-ST-10003656,Mobile Phones,OnePlus,Safco Industrial Wire Shelving,230.376,3,-48.9549
CA-2017-140088,5/28/2017,PO-18865,Patrick O'Donnell,Columbia,South,FUR-CH-10000863,Laptops,HP,Novimex Swivel Fabric Task Chair,301.96,2,33.2156
CA-2017-155558,10/26/2017,PG-18895,Paul Gonzalez,Rochester,Central,TEC-AC-10001998,Cameras ,Nikon,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,6.7966
CA-2017-155558,10/26/2017,PG-18895,Paul Gonzalez,Rochester,Central,OFF-LA-10000134,Mobile Phones,HTC,Avery 511,6.16,2,2.9568
CA-2016-159695,4/5/2016,GM-14455,Gary Mitchum,Houston,Central,OFF-ST-10003442,Mobile Phones,OnePlus,Eldon Portable Mobile Manager,158.368,7,13.8572
CA-2016-109806,9/17/2016,JS-15685,Jim Sink,Los Angeles,West,OFF-AR-10004930,Mobile Phones,LG,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633
CA-2016-109806,9/17/2016,JS-15685,Jim Sink,Los Angeles,West,TEC-PH-10004093,Cameras ,Sony,Panasonic Kx-TS550,73.584,2,8.2782
CA-2016-109806,9/17/2016,JS-15685,Jim Sink,Los Angeles,West,OFF-PA-10000304,Mobile Phones,Pixel,Xerox 1995,6.48,1,3.1104
CA-2019-149587,1/31/2019,KB-16315,Karl Braun,Minneapolis,Central,OFF-PA-10003177,Mobile Phones,Pixel,Xerox 1999,12.96,2,6.2208
CA-2019-149587,1/31/2019,KB-16315,Karl Braun,Minneapolis,Central,FUR-FU-10003799,Laptops,Asus,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,16.5354
CA-2019-149587,1/31/2019,KB-16315,Karl Braun,Minneapolis,Central,OFF-BI-10002852,Mobile Phones,iPhone,Ibico Standard Transparent Covers,32.96,2,16.1504
US-2017-109484,11/6/2017,RB-19705,Roger Barcio,Portland,West,OFF-BI-10004738,Mobile Phones,iPhone,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788
CA-2017-161018,11/9/2017,PN-18775,Parhena Norris,New York City,East,FUR-FU-10000629,Laptops,Asus,9-3/4 Diameter Round Wall Clock,96.53,7,40.5426
CA-2017-157833,6/17/2017,KD-16345,Katherine Ducich,San Francisco,West,OFF-BI-10001721,Mobile Phones,iPhone,Trimflex Flexible Post iPhone,51.312,3,17.9592
CA-2016-149223,9/6/2016,ER-13855,Elpida Rittenbach,Saint Paul,Central,OFF-AP-10000358,Mobile Phones,Samsung,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,22.5852
CA-2016-158568,8/29/2016,RB-19465,Rick Bensley,Chicago,Central,OFF-PA-10003256,Mobile Phones,Pixel,Avery Personal Creations Heavyweight Cards,64.624,7,22.6184
CA-2016-158568,8/29/2016,RB-19465,Rick Bensley,Chicago,Central,TEC-AC-10001767,Cameras ,Nikon,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,-10.7973
CA-2016-158568,8/29/2016,RB-19465,Rick Bensley,Chicago,Central,OFF-BI-10002609,Mobile Phones,iPhone,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.0396
CA-2016-129903,12/1/2016,GZ-14470,Gary Zandusky,Rochester,Central,OFF-PA-10004040,Mobile Phones,Pixel,Universal Premium White Copier/Laser Pixel(20Lb. and 87 Bright),23.92,4,11.7208
